00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 00:52:53 2024
00001  0.26947 0.00000 0.00000 10240000 0         0       : Fri Aug  2 00:55:21 2024
00002  0.26893 0.00000 0.00000 2129920  0         0       : Fri Aug  2 00:57:17 2024
00003  0.26917 0.00000 0.00000 2129920  0         0       : Fri Aug  2 00:59:14 2024
00004  0.27009 0.00000 0.00000 2129920  0         0       : Fri Aug  2 01:01:10 2024
00005  0.27021 0.00000 0.00000 2129920  0         0       : Fri Aug  2 01:03:06 2024
00006  0.27080 0.00000 0.00000 2129920  0         0       : Fri Aug  2 01:05:03 2024
00007  0.26926 0.00000 0.00000 2129920  0         0       : Fri Aug  2 01:07:01 2024
00008  0.26935 0.00000 0.00000 2129920  0         0       : Fri Aug  2 01:08:58 2024
00009  0.26971 0.00000 0.00000 2129920  0         0       : Fri Aug  2 01:10:55 2024
00010  0.27026 0.00000 0.00000 2129920  0         0       : Fri Aug  2 01:12:51 2024
