00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 15:02:53 2024
00001  0.26962 0.00000 0.00000 10240000 0         0       : Fri Aug  2 15:05:24 2024
00002  0.26891 0.00000 0.00000 2129920  0         0       : Fri Aug  2 15:07:25 2024
00003  0.26963 0.00000 0.00000 2129920  0         0       : Fri Aug  2 15:09:25 2024
00004  0.26940 0.00000 0.00000 2129920  0         0       : Fri Aug  2 15:11:26 2024
00005  0.26959 0.00000 0.00000 2129920  0         0       : Fri Aug  2 15:13:27 2024
00006  0.26867 0.00000 0.00000 2129920  0         0       : Fri Aug  2 15:15:29 2024
00007  0.26880 0.00000 0.00000 2129920  0         0       : Fri Aug  2 15:17:28 2024
00008  0.26895 0.00000 0.00000 2129920  0         0       : Fri Aug  2 15:19:28 2024
00009  0.26896 0.00000 0.00000 2129920  0         0       : Fri Aug  2 15:21:29 2024
00010  0.26909 0.00000 0.00000 2129920  0         0       : Fri Aug  2 15:23:30 2024
