00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Jul 31 11:43:58 2024
00001  0.26985 0.00000 0.00000 10240000 0         0       : Wed Jul 31 11:46:26 2024
00002  0.27011 0.00000 0.00000 2129920  0         0       : Wed Jul 31 11:48:24 2024
00003  0.26958 0.00000 0.00000 2129920  0         0       : Wed Jul 31 11:50:23 2024
00004  0.26911 0.00000 0.00000 2129920  0         0       : Wed Jul 31 11:52:20 2024
00005  0.26999 0.00000 0.00000 2129920  0         0       : Wed Jul 31 11:54:17 2024
00006  0.26937 0.00000 0.00000 2129920  0         0       : Wed Jul 31 11:56:14 2024
00007  0.26819 0.00000 0.00000 2129920  0         0       : Wed Jul 31 11:58:11 2024
00008  0.26903 0.00000 0.00000 2129920  0         0       : Wed Jul 31 12:00:10 2024
00009  0.26944 0.00000 0.00000 2129920  0         0       : Wed Jul 31 12:02:07 2024
00010  0.27058 0.00000 0.00000 2129920  0         0       : Wed Jul 31 12:04:04 2024
