00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 01:56:19 2024
00001  0.26970 0.00000 0.00000 10240000 0         0       : Fri Aug  2 01:58:46 2024
00002  0.26959 0.00000 0.00000 2129920  0         0       : Fri Aug  2 02:00:43 2024
00003  0.26876 0.00000 0.00000 2129920  0         0       : Fri Aug  2 02:02:40 2024
00004  0.26978 0.00000 0.00000 2129920  0         0       : Fri Aug  2 02:04:37 2024
00005  0.27005 0.00000 0.00000 2129920  0         0       : Fri Aug  2 02:06:34 2024
00006  0.26956 0.00000 0.00000 2129920  0         0       : Fri Aug  2 02:08:30 2024
00007  0.26989 0.00000 0.00000 2129920  0         0       : Fri Aug  2 02:10:25 2024
00008  0.26879 0.00000 0.00000 2129920  0         0       : Fri Aug  2 02:12:21 2024
00009  0.26959 0.00000 0.00000 2129920  0         0       : Fri Aug  2 02:14:18 2024
00010  0.26989 0.00000 0.00000 2129920  0         0       : Fri Aug  2 02:16:15 2024
