#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
 4096  8192     0     0  1.66643e+04  1.67825e+00  4.54066e-03  5274
 4096  8192     0     0  4.01563e+04  2.15222e-01 -4.34207e-03  1652
 4096  8192     0     0  3.60693e+04  1.00626e+00  4.09364e-03  2996
 4096  8192     0     0  3.78352e+04  4.88002e-01  5.06618e-03  8006
 4096  8192     0     0  2.77573e+05  2.33567e-01 -5.32653e-03   706
 4096  8192     0     0  1.42145e+04  3.79988e-01  3.65880e-03   904
 4096  8192     0     0  8.89785e+03  3.67305e-01 -5.08544e-03   966
 4096  8192     0     0  2.57114e+04  6.69127e-01 -6.29229e-03  3956
 4096  8192     0     0  1.72830e+04  4.43438e-01 -4.72248e-03  3042
 4096  8192     0     0  2.64222e+04  3.98144e-01 -4.56013e-03  8024
 4096  8192     0     0  5.05870e+04  8.50425e-01 -4.66699e-03  3046
 4096  8192     0     0  4.61164e+03  6.52817e-01  4.12099e-03  2956
 4096  8192     0     0  5.72604e+03  5.40812e-01 -3.99102e-03  8052
 4096  8192     0     0  1.46533e+04  7.91383e-01  5.61561e-03  1638
 4096  8192     0     0  1.63365e+04  3.95906e-01 -8.24214e-03   706
 4096  8192     0     0  1.08238e+04  8.32303e-01 -5.52055e-03  3920
 4096  8192     0     0  3.30844e+04  4.20740e-01  4.35683e-03  5222
 4096  8192     0     0  9.98299e+03  5.95095e-01  7.28261e-03   692
 4096  8192     0     0  1.28191e+04  7.55079e-02  3.62461e-03   720
 4096  8192     0     0  7.38324e+03  8.23040e-01  4.45772e-03  5292
 4096  8192     0     0  2.40968e+04  2.45771e-01 -4.13000e-03   994
 4096  8192     0     0  7.65138e+03  4.21979e-01 -5.35180e-03  8024
 4096  8192     0     0  1.12822e+04  8.64208e-02  8.44182e-03  8002
 4096  8192     0     0  1.47731e+04  1.30200e+00  6.13022e-03  1090
 4096  8192     0     0  1.16241e+04  2.73367e-01  4.31843e-03  1012
 4096  8192     0     0  2.48361e+04  1.93752e+00  5.46537e-03  1126
 4096  8192     0     0  1.08263e+04  7.76675e-02  4.25554e-03  6708
 4096  8192     0     0  9.61385e+03  4.05897e-01  4.00338e-03  1126
 4096  8192     0     0  4.38236e+04  4.77179e-01  4.49960e-03  8034
 4096  8192     0     0  2.50421e+05  8.34896e-01  4.11092e-03  8002
 4096  8192     0     0  3.28380e+04  6.67808e-01 -3.64787e-03  1140
 4096  8192     0     0  3.93078e+04  4.40401e-01 -4.77242e-03  3010
 4096  8192     0     0  9.77944e+03  1.91310e-01 -5.50079e-03  8016
 4096  8192     0     0  1.40100e+04  3.22355e-01  4.01115e-03  5278
 4096  8192     0     0  1.42941e+04  5.25254e-01 -3.84677e-03  7990
 4096  8192     0     0  8.52353e+03  6.15129e-01 -4.92118e-03   742
 4096  8192     0     0  1.62544e+04  3.80288e-01 -6.57529e-03  3956
 4096  8192     0     0  1.02730e+04  1.61599e-01  5.31003e-03  8006
 4096  8192     0     0  3.68544e+04  5.00141e-01 -4.38373e-03  8024
 4096  8192     0     0  1.22481e+04  9.73856e-01  5.28362e-03  5278
 4096  8192     0     0  1.29768e+04  7.39868e-01 -4.55387e-03   966
 4096  8192     0     0  1.65028e+04  1.64328e-01 -3.56020e-03  3042
 4096  8192     0     0  2.92474e+04  2.66133e-01 -3.85868e-03  5544
 4096  8192     0     0  2.29727e+04  6.25795e-01 -4.20568e-03  3920
 4096  8192     0     0  2.78277e+04  2.04439e-01 -4.30648e-03  2982
 4096  8192     0     0  2.51009e+04  6.27297e-01  5.24234e-03  3032
 4096  8192     0     0  1.19494e+04  3.58139e-01  5.27512e-03  5278
 4096  8192     0     0  8.02281e+03  6.24194e-01  5.18663e-03   692
 4096  8192     0     0  7.73928e+03  4.35459e-01  5.95200e-03  1602
 4096  8192     0     0  1.64520e+04  5.28116e-01  3.92410e-03  8006
 4096  8192     0     0  1.52303e+04  3.33582e-01  6.86521e-03  3938
 4096  8192     0     0  7.29048e+04  4.91132e-02 -4.49044e-03   670
 4096  8192     0     0  9.38415e+03  4.73758e-01  4.93648e-03  3942
 4096  8192     0     0  1.20868e+04  2.87933e-01 -5.12890e-03  1112
 4096  8192     0     0  1.31349e+04  4.61079e-01  4.50118e-03  1634
 4096  8192     0     0  1.53226e+05  8.75734e-01  6.46565e-03  3938
 4096  8192     0     0  1.52088e+04  4.38480e-01  5.30312e-03   720
 4096  8192     0     0  3.47121e+04  2.86767e-01  5.26639e-03  2768
 4096  8192     0     0  1.11156e+04  4.85310e-01  3.74881e-03  8002
 4096  8192     0     0  9.31781e+03  4.19868e-01  7.88548e-03  2996
 4096  8192     0     0  9.58058e+03  2.68443e-01  4.04008e-03  2768
 4096  8192     0     0  1.44003e+04  1.01155e+00  5.42584e-03  1638
 4096  8192     0     0  2.94345e+04  3.67541e-01  4.40438e-03  6726
 4096  8192     0     0  9.16760e+03  1.79235e-01 -4.05586e-03   962
 4096  8192     0     0  5.66964e+04  1.06525e-01 -4.40969e-03   966
 4096  8192     0     0  2.37563e+04  6.80952e-01 -4.66697e-03   706
 4096  8192     0     0  1.67740e+04  1.12371e+00  4.55260e-03  1876
 4096  8192     0     0  5.95198e+04  1.15372e-01 -4.07827e-03  3010
 4096  8192     0     0  2.11197e+04  4.79003e-01  4.86326e-03  5292
