00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 13:32:42 2024
00001  0.26963 0.00000 0.00000 10240000 0         0       : Thu Aug  1 13:35:13 2024
00002  0.26928 0.00000 0.00000 2129920  0         0       : Thu Aug  1 13:37:14 2024
00003  0.26895 0.00000 0.00000 2129920  0         0       : Thu Aug  1 13:39:12 2024
00004  0.26953 0.00000 0.00000 2129920  0         0       : Thu Aug  1 13:41:12 2024
00005  0.26897 0.00000 0.00000 2129920  0         0       : Thu Aug  1 13:43:13 2024
00006  0.26914 0.00000 0.00000 2129920  0         0       : Thu Aug  1 13:45:12 2024
00007  0.26964 0.00000 0.00000 2129920  0         0       : Thu Aug  1 13:47:11 2024
00008  0.26877 0.00000 0.00000 2129920  0         0       : Thu Aug  1 13:49:10 2024
00009  0.26861 0.00000 0.00000 2129920  0         0       : Thu Aug  1 13:51:10 2024
00010  0.27000 0.00000 0.00000 2129920  0         0       : Thu Aug  1 13:53:09 2024
