00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 01:35:52 2024
00001  0.27008 0.00000 0.00000 10240000 0         0       : Thu Aug  1 01:38:21 2024
00002  0.26886 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:40:17 2024
00003  0.26953 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:42:14 2024
00004  0.26990 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:44:10 2024
00005  0.26865 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:46:07 2024
00006  0.26892 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:48:04 2024
00007  0.27003 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:50:01 2024
00008  0.26858 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:51:58 2024
00009  0.26954 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:53:56 2024
00010  0.27011 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:55:53 2024
