00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 00:00:48 2024
00001  0.27004 0.00000 0.00000 10240000 0         0       : Fri Aug  2 00:03:17 2024
00002  0.27018 0.00000 0.00000 2129920  0         0       : Fri Aug  2 00:05:13 2024
00003  0.26823 0.00000 0.00000 2129920  0         0       : Fri Aug  2 00:07:10 2024
00004  0.26925 0.00000 0.00000 2129920  0         0       : Fri Aug  2 00:09:07 2024
00005  0.26843 0.00000 0.00000 2129920  0         0       : Fri Aug  2 00:11:04 2024
00006  0.27019 0.00000 0.00000 2129920  0         0       : Fri Aug  2 00:13:02 2024
00007  0.26914 0.00000 0.00000 2129920  0         0       : Fri Aug  2 00:14:58 2024
00008  0.26973 0.00000 0.00000 2129920  0         0       : Fri Aug  2 00:16:55 2024
00009  0.27012 0.00000 0.00000 2129920  0         0       : Fri Aug  2 00:18:51 2024
00010  0.26985 0.00000 0.00000 2129920  0         0       : Fri Aug  2 00:20:48 2024
