00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Jul 31 09:20:04 2024
00001  0.27005 0.00000 0.00000 10240000 0         0       : Wed Jul 31 09:22:33 2024
00002  0.27011 0.00000 0.00000 2129920  0         0       : Wed Jul 31 09:24:29 2024
00003  0.27001 0.00000 0.00000 2129920  0         0       : Wed Jul 31 09:26:26 2024
00004  0.27010 0.00000 0.00000 2129920  0         0       : Wed Jul 31 09:28:23 2024
00005  0.26913 0.00000 0.00000 2129920  0         0       : Wed Jul 31 09:30:20 2024
00006  0.26975 0.00000 0.00000 2129920  0         0       : Wed Jul 31 09:32:18 2024
00007  0.27002 0.00000 0.00000 2129920  0         0       : Wed Jul 31 09:34:15 2024
00008  0.26900 0.00000 0.00000 2129920  0         0       : Wed Jul 31 09:36:13 2024
00009  0.26991 0.00000 0.00000 2129920  0         0       : Wed Jul 31 09:38:09 2024
00010  0.27001 0.00000 0.00000 2129920  0         0       : Wed Jul 31 09:40:07 2024
