00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Jul 31 08:24:00 2024
00001  0.27125 0.00000 0.00000 3276800  0         0       : Wed Jul 31 08:24:55 2024
00002  0.27039 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:25:17 2024
00003  0.27051 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:25:36 2024
00004  0.27062 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:25:54 2024
00005  0.26952 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:26:12 2024
00006  0.27028 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:26:29 2024
00007  0.27007 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:26:48 2024
00008  0.26939 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:27:05 2024
00009  0.27065 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:27:23 2024
00010  0.27055 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:27:41 2024
00011  0.27037 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:28:00 2024
00012  0.27080 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:28:18 2024
00013  0.26929 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:28:36 2024
00014  0.26869 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:28:53 2024
00015  0.26935 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:29:11 2024
00016  0.26982 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:29:29 2024
00017  0.26991 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:29:47 2024
00018  0.26953 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:30:05 2024
00019  0.26994 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:30:22 2024
00020  0.26958 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:30:40 2024
00021  0.27037 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:30:58 2024
00022  0.26957 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:31:16 2024
00023  0.26942 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:31:33 2024
00024  0.27012 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:31:50 2024
00025  0.26954 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:32:08 2024
00026  0.27021 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:32:26 2024
00027  0.27015 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:32:44 2024
00028  0.27033 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:33:02 2024
00029  0.26886 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:33:19 2024
00030  0.26901 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:33:37 2024
00031  0.26931 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:33:54 2024
00032  0.27051 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:34:12 2024
00033  0.27052 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:34:29 2024
00034  0.26970 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:34:48 2024
00035  0.27051 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:35:05 2024
00036  0.26897 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:35:23 2024
00037  0.26956 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:35:40 2024
00038  0.26930 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:35:57 2024
00039  0.26945 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:36:15 2024
00040  0.27012 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:36:32 2024
00041  0.27090 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:36:50 2024
00042  0.27064 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:37:07 2024
00043  0.26938 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:37:24 2024
00044  0.26947 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:37:42 2024
00045  0.27012 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:37:59 2024
00046  0.26970 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:38:18 2024
00047  0.26920 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:38:36 2024
00048  0.27064 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:38:53 2024
00049  0.27056 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:39:11 2024
00050  0.26950 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:39:28 2024
00051  0.26999 0.00000 0.00000 1654784  0         0       : Wed Jul 31 08:39:46 2024
