00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 09:23:30 2024
00001  0.27000 0.00000 0.00000 10240000 0         0       : Fri Aug  2 09:25:57 2024
00002  0.27031 0.00000 0.00000 2129920  0         0       : Fri Aug  2 09:27:54 2024
00003  0.26838 0.00000 0.00000 2129920  0         0       : Fri Aug  2 09:29:51 2024
00004  0.26999 0.00000 0.00000 2129920  0         0       : Fri Aug  2 09:31:48 2024
00005  0.26875 0.00000 0.00000 2129920  0         0       : Fri Aug  2 09:33:44 2024
00006  0.27017 0.00000 0.00000 2129920  0         0       : Fri Aug  2 09:35:41 2024
00007  0.26923 0.00000 0.00000 2129920  0         0       : Fri Aug  2 09:37:37 2024
00008  0.26977 0.00000 0.00000 2129920  0         0       : Fri Aug  2 09:39:34 2024
00009  0.26961 0.00000 0.00000 2129920  0         0       : Fri Aug  2 09:41:30 2024
00010  0.27043 0.00000 0.00000 2129920  0         0       : Fri Aug  2 09:43:26 2024
