#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
 4614  9224     0     4  2.08220e+03  0.00000e+00 -4.55259e-03  6844
 4614  9224     0     4  2.99373e+03  0.00000e+00  4.98012e-03  5242
 4614  9224     0     4  1.89064e+03  0.00000e+00 -6.32223e-03  3126
 4614  9224     0     4  2.47710e+03  0.00000e+00 -4.97571e-03  7798
 4614  9224     0     4  1.57518e+04  0.00000e+00  7.21002e-03  7812
 4614  9224     0     4  1.11459e+03  0.00000e+00 -4.32529e-03  6006
 4614  9224     0     4  6.65406e+03  0.00000e+00 -5.35291e-03  4282
 4614  9224     0     4  1.37005e+03  0.00000e+00  7.45926e-03  7726
 4614  9224     0     4  1.52659e+03  0.00000e+00  6.27530e-03  3100
 4614  9224     0     4  9.08295e+02  0.00000e+00 -5.41367e-03  3122
 4614  9224     0     4  1.37858e+03  0.00000e+00 -4.30595e-03  5416
 4614  9224     0     4  1.26705e+03  0.00000e+00 -8.65461e-03  3118
 4614  9224     0     4  2.28310e+03  0.00000e+00  7.03350e-03  7798
 4614  9224     0     4  1.87043e+03  0.00000e+00  6.49324e-03  7708
 4614  9224     0     4  1.65640e+03  0.00000e+00 -6.79328e-03  8622
 4614  9224     0     4  1.61211e+03  0.00000e+00 -5.35822e-03  5636
 4614  9224     0     4  1.07336e+03  0.00000e+00  4.81874e-03  8068
 4614  9224     0     4  1.82626e+04  0.00000e+00 -5.79540e-03  5750
 4614  9224     0     4  1.59065e+03  0.00000e+00 -5.39541e-03  4296
 4614  9224     0     4  1.92475e+03  0.00000e+00 -5.40339e-03  3118
 4614  9224     0     4  4.47700e+03  0.00000e+00  5.99769e-03  1668
 4614  9224     0     4  4.68274e+03  0.00000e+00  4.85447e-03  5664
 4614  9224     0     4  9.76104e+02  0.00000e+00 -5.30628e-03  7740
 4614  9224     0     4  2.67790e+03  0.00000e+00  6.51191e-03  7740
 4614  9224     0     4  1.72301e+03  0.00000e+00 -4.90001e-03  2780
 4614  9224     0     4  3.00117e+03  0.00000e+00  6.31498e-03  4262
 4614  9224     0     4  1.41861e+03  0.00000e+00  5.29481e-03  8898
 4614  9224     0     4  4.07260e+03  0.00000e+00  5.25685e-03  5910
 4614  9224     0     4  1.13013e+03  0.00000e+00  6.04999e-03  2222
 4614  9224     0     4  1.63521e+03  0.00000e+00 -6.96226e-03  3126
 4614  9224     0     4  9.30149e+02  0.00000e+00  5.58014e-03  7726
 4614  9224     0     4  1.20287e+03  0.00000e+00  5.25229e-03  7560
 4614  9224     0     4  2.03007e+03  0.00000e+00 -3.88337e-03  6912
 4614  9224     0     4  4.95741e+03  0.00000e+00  4.56211e-03  3868
 4614  9224     0     4  4.28453e+03  0.00000e+00 -4.84507e-03  7770
 4614  9224     0     4  1.12987e+03  0.00000e+00 -5.18739e-03  9220
 4614  9224     0     4  9.49998e+02  0.00000e+00  7.71625e-03  4270
 4614  9224     0     4  1.81692e+03  0.00000e+00 -4.77936e-03  4100
 4614  9224     0     4  2.82677e+03  0.00000e+00  4.72016e-03  7788
 4614  9224     0     4  7.28029e+03  0.00000e+00  4.32861e-03  1340
 4614  9224     0     4  2.04114e+03  0.00000e+00 -4.86701e-03  1594
 4614  9224     0     4  1.19300e+03  0.00000e+00 -5.03222e-03  5110
 4614  9224     0     4  4.94620e+03  0.00000e+00 -6.76230e-03  7798
 4614  9224     0     4  1.34494e+03  0.00000e+00 -5.95316e-03  7788
 4614  9224     0     4  1.31457e+04  0.00000e+00 -4.22431e-03  4740
 4614  9224     0     4  2.40091e+03  0.00000e+00 -4.28843e-03  1370
 4614  9224     0     4  1.43704e+03  0.00000e+00  8.15077e-03  5252
 4614  9224     0     4  1.21214e+03  0.00000e+00  4.93455e-03  2308
 4614  9224     0     4  1.93595e+03  0.00000e+00  6.10895e-03  7788
 4614  9224     0     4  1.41692e+03  0.00000e+00 -5.05675e-03  3158
 4614  9224     0     4  1.17527e+03  0.00000e+00  5.87135e-03  6842
 4614  9224     0     4  1.18987e+03  0.00000e+00  1.04386e-02  7746
 4614  9224     0     4  3.43305e+03  0.00000e+00  5.85449e-03  8708
 4614  9224     0     4  1.77662e+03  0.00000e+00  5.10157e-03  7542
 4614  9224     0     4  3.13052e+03  0.00000e+00  4.85994e-03  4772
 4614  9224     0     4  1.13504e+03  0.00000e+00  6.48793e-03  7732
 4614  9224     0     4  2.85770e+03  0.00000e+00 -4.81792e-03  4346
 4614  9224     0     4  3.06657e+03  0.00000e+00 -5.83344e-03  3118
 4614  9224     0     4  2.28539e+03  0.00000e+00  8.40677e-03  2620
 4614  9224     0     4  2.57599e+03  0.00000e+00 -5.80229e-03  3118
 4614  9224     0     4  3.22632e+03  0.00000e+00 -4.39813e-03  4284
 4614  9224     0     4  3.86032e+03  0.00000e+00 -6.27803e-03  5054
 4614  9224     0     4  3.12620e+03  0.00000e+00  4.98654e-03  7752
 4614  9224     0     4  8.87513e+03  0.00000e+00 -4.74002e-03  8622
 4614  9224     0     4  3.51736e+03  0.00000e+00  5.17499e-03  7798
 4614  9224     0     4  7.89078e+02  0.00000e+00 -7.07610e-03  4598
 4614  9224     0     4  1.40973e+03  0.00000e+00 -5.00002e-03  1084
 4614  9224     0     4  3.28938e+03  0.00000e+00 -4.62854e-03  8916
 4614  9224     0     4  1.19814e+03  0.00000e+00  5.71432e-03  4340
 4614  9224     0     4  1.16232e+03  0.00000e+00 -6.64774e-03  6016
 4614  9224     0     4  2.39896e+03  0.00000e+00  5.86638e-03  3132
 4614  9224     0     4  1.44522e+03  0.00000e+00 -6.43968e-03  5008
 4614  9224     0     4  1.89213e+03  0.00000e+00  3.86546e-03  7730
 4614  9224     0     4  1.18203e+03  0.00000e+00 -7.86642e-03  8666
 4614  9224     0     4  3.87859e+03  0.00000e+00  5.62665e-03  7798
 4614  9224     0     4  9.55895e+02  0.00000e+00 -6.78236e-03  7356
 4614  9224     0     4  1.65087e+03  0.00000e+00 -8.19323e-03  8252
