00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Jul 31 23:32:18 2024
00001  0.26983 0.00000 0.00000 10240000 0         0       : Wed Jul 31 23:34:45 2024
00002  0.26984 0.00000 0.00000 2129920  0         0       : Wed Jul 31 23:36:44 2024
00003  0.26933 0.00000 0.00000 2129920  0         0       : Wed Jul 31 23:38:40 2024
00004  0.27026 0.00000 0.00000 2129920  0         0       : Wed Jul 31 23:40:36 2024
00005  0.26949 0.00000 0.00000 2129920  0         0       : Wed Jul 31 23:42:33 2024
00006  0.26897 0.00000 0.00000 2129920  0         0       : Wed Jul 31 23:44:30 2024
00007  0.26932 0.00000 0.00000 2129920  0         0       : Wed Jul 31 23:46:26 2024
00008  0.26915 0.00000 0.00000 2129920  0         0       : Wed Jul 31 23:48:23 2024
00009  0.26906 0.00000 0.00000 2129920  0         0       : Wed Jul 31 23:50:20 2024
00010  0.26988 0.00000 0.00000 2129920  0         0       : Wed Jul 31 23:52:16 2024
