00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 07:43:56 2024
00001  0.26986 0.00000 0.00000 10240000 0         0       : Thu Aug  1 07:46:24 2024
00002  0.26942 0.00000 0.00000 2129920  0         0       : Thu Aug  1 07:48:20 2024
00003  0.26887 0.00000 0.00000 2129920  0         0       : Thu Aug  1 07:50:17 2024
00004  0.26891 0.00000 0.00000 2129920  0         0       : Thu Aug  1 07:52:14 2024
00005  0.26923 0.00000 0.00000 2129920  0         0       : Thu Aug  1 07:54:11 2024
00006  0.26928 0.00000 0.00000 2129920  0         0       : Thu Aug  1 07:56:07 2024
00007  0.26909 0.00000 0.00000 2129920  0         0       : Thu Aug  1 07:58:04 2024
00008  0.26937 0.00000 0.00000 2129920  0         0       : Thu Aug  1 08:00:01 2024
00009  0.26922 0.00000 0.00000 2129920  0         0       : Thu Aug  1 08:01:57 2024
00010  0.26965 0.00000 0.00000 2129920  0         0       : Thu Aug  1 08:03:53 2024
