00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 18:46:55 2024
00001  0.26968 0.00000 0.00000 10240000 0         0       : Thu Aug  1 18:49:40 2024
00002  0.26860 0.00000 0.00000 2129920  0         0       : Thu Aug  1 18:51:53 2024
00003  0.27020 0.00000 0.00000 2129920  0         0       : Thu Aug  1 18:54:04 2024
00004  0.26904 0.00000 0.00000 2129920  0         0       : Thu Aug  1 18:56:15 2024
00005  0.26903 0.00000 0.00000 2129920  0         0       : Thu Aug  1 18:58:27 2024
00006  0.27028 0.00000 0.00000 2129920  0         0       : Thu Aug  1 19:00:39 2024
00007  0.26942 0.00000 0.00000 2129920  0         0       : Thu Aug  1 19:02:50 2024
00008  0.27010 0.00000 0.00000 2129920  0         0       : Thu Aug  1 19:05:00 2024
00009  0.27009 0.00000 0.00000 2129920  0         0       : Thu Aug  1 19:07:12 2024
00010  0.26940 0.00000 0.00000 2129920  0         0       : Thu Aug  1 19:09:22 2024
