00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 11:05:12 2024
00001  0.26960 0.00000 0.00000 10240000 0         0       : Fri Aug  2 11:07:39 2024
00002  0.26914 0.00000 0.00000 2129920  0         0       : Fri Aug  2 11:09:35 2024
00003  0.26927 0.00000 0.00000 2129920  0         0       : Fri Aug  2 11:11:30 2024
00004  0.26883 0.00000 0.00000 2129920  0         0       : Fri Aug  2 11:13:27 2024
00005  0.26913 0.00000 0.00000 2129920  0         0       : Fri Aug  2 11:15:23 2024
00006  0.26941 0.00000 0.00000 2129920  0         0       : Fri Aug  2 11:17:19 2024
00007  0.26948 0.00000 0.00000 2129920  0         0       : Fri Aug  2 11:19:16 2024
00008  0.26934 0.00000 0.00000 2129920  0         0       : Fri Aug  2 11:21:13 2024
00009  0.26915 0.00000 0.00000 2129920  0         0       : Fri Aug  2 11:23:10 2024
00010  0.26993 0.00000 0.00000 2129920  0         0       : Fri Aug  2 11:25:07 2024
