00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Sat Aug  3 16:31:46 2024
00001  0.12237 0.00000 0.00000 12288000 0         0       : Sat Aug  3 16:39:59 2024
00002  0.11954 0.00000 0.00000 4177920  0         0       : Sat Aug  3 16:47:52 2024
00003  0.12037 0.00000 0.00000 4177920  0         0       : Sat Aug  3 16:55:38 2024
