00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Sat Aug  3 16:07:42 2024
00001  0.12239 0.00000 0.00000 12288000 0         0       : Sat Aug  3 16:15:57 2024
00002  0.11986 0.00000 0.00000 4177920  0         0       : Sat Aug  3 16:23:44 2024
00003  0.12012 0.00000 0.00000 4177920  0         0       : Sat Aug  3 16:31:25 2024
