00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 21:38:34 2024
00001  0.26973 0.00000 0.00000 10240000 0         0       : Thu Aug  1 21:41:02 2024
00002  0.27036 0.00000 0.00000 2129920  0         0       : Thu Aug  1 21:42:58 2024
00003  0.26964 0.00000 0.00000 2129920  0         0       : Thu Aug  1 21:44:55 2024
00004  0.26864 0.00000 0.00000 2129920  0         0       : Thu Aug  1 21:46:52 2024
00005  0.26940 0.00000 0.00000 2129920  0         0       : Thu Aug  1 21:48:48 2024
00006  0.26996 0.00000 0.00000 2129920  0         0       : Thu Aug  1 21:50:44 2024
00007  0.26924 0.00000 0.00000 2129920  0         0       : Thu Aug  1 21:52:41 2024
00008  0.26919 0.00000 0.00000 2129920  0         0       : Thu Aug  1 21:54:38 2024
00009  0.26945 0.00000 0.00000 2129920  0         0       : Thu Aug  1 21:56:35 2024
00010  0.27004 0.00000 0.00000 2129920  0         0       : Thu Aug  1 21:58:31 2024
