00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Jul 31 02:29:46 2024
00001  0.27129 0.00000 0.00000 10240000 0         0       : Wed Jul 31 02:32:14 2024
00002  0.27059 0.00000 0.00000 2129920  0         0       : Wed Jul 31 02:34:10 2024
00003  0.27084 0.00000 0.00000 2129920  0         0       : Wed Jul 31 02:36:07 2024
00004  0.27075 0.00000 0.00000 2129920  0         0       : Wed Jul 31 02:38:04 2024
00005  0.27088 0.00000 0.00000 2129920  0         0       : Wed Jul 31 02:40:00 2024
00006  0.27025 0.00000 0.00000 2129920  0         0       : Wed Jul 31 02:41:56 2024
00007  0.27070 0.00000 0.00000 2129920  0         0       : Wed Jul 31 02:43:53 2024
00008  0.27168 0.00000 0.00000 2129920  0         0       : Wed Jul 31 02:45:50 2024
00009  0.27069 0.00000 0.00000 2129920  0         0       : Wed Jul 31 02:47:46 2024
00010  0.27138 0.00000 0.00000 2129920  0         0       : Wed Jul 31 02:49:44 2024
