00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 07:59:55 2024
00001  0.27028 0.00000 0.00000 10240000 0         0       : Fri Aug  2 08:02:23 2024
00002  0.26905 0.00000 0.00000 2129920  0         0       : Fri Aug  2 08:04:20 2024
00003  0.26873 0.00000 0.00000 2129920  0         0       : Fri Aug  2 08:06:17 2024
00004  0.26942 0.00000 0.00000 2129920  0         0       : Fri Aug  2 08:08:14 2024
00005  0.26974 0.00000 0.00000 2129920  0         0       : Fri Aug  2 08:10:10 2024
00006  0.26949 0.00000 0.00000 2129920  0         0       : Fri Aug  2 08:12:06 2024
00007  0.26961 0.00000 0.00000 2129920  0         0       : Fri Aug  2 08:14:03 2024
00008  0.27001 0.00000 0.00000 2129920  0         0       : Fri Aug  2 08:15:59 2024
00009  0.26937 0.00000 0.00000 2129920  0         0       : Fri Aug  2 08:17:56 2024
00010  0.26985 0.00000 0.00000 2129920  0         0       : Fri Aug  2 08:19:52 2024
