00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Jul 31 21:31:44 2024
00001  0.27069 0.00000 0.00000 10240000 0         0       : Wed Jul 31 21:34:13 2024
00002  0.26973 0.00000 0.00000 2129920  0         0       : Wed Jul 31 21:36:10 2024
00003  0.26968 0.00000 0.00000 2129920  0         0       : Wed Jul 31 21:38:08 2024
00004  0.26895 0.00000 0.00000 2129920  0         0       : Wed Jul 31 21:40:04 2024
00005  0.26967 0.00000 0.00000 2129920  0         0       : Wed Jul 31 21:42:00 2024
00006  0.27041 0.00000 0.00000 2129920  0         0       : Wed Jul 31 21:43:56 2024
00007  0.27005 0.00000 0.00000 2129920  0         0       : Wed Jul 31 21:45:52 2024
00008  0.26859 0.00000 0.00000 2129920  0         0       : Wed Jul 31 21:47:49 2024
00009  0.26972 0.00000 0.00000 2129920  0         0       : Wed Jul 31 21:49:45 2024
00010  0.26935 0.00000 0.00000 2129920  0         0       : Wed Jul 31 21:51:42 2024
