00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 15:49:50 2024
00001  0.27005 0.00000 0.00000 10240000 0         0       : Thu Aug  1 15:52:25 2024
00002  0.27034 0.00000 0.00000 2129920  0         0       : Thu Aug  1 15:54:27 2024
00003  0.26938 0.00000 0.00000 2129920  0         0       : Thu Aug  1 15:56:29 2024
00004  0.27054 0.00000 0.00000 2129920  0         0       : Thu Aug  1 15:58:30 2024
00005  0.26867 0.00000 0.00000 2129920  0         0       : Thu Aug  1 16:00:33 2024
00006  0.26970 0.00000 0.00000 2129920  0         0       : Thu Aug  1 16:02:34 2024
00007  0.26919 0.00000 0.00000 2129920  0         0       : Thu Aug  1 16:04:35 2024
00008  0.26887 0.00000 0.00000 2129920  0         0       : Thu Aug  1 16:06:36 2024
00009  0.26957 0.00000 0.00000 2129920  0         0       : Thu Aug  1 16:08:37 2024
00010  0.26910 0.00000 0.00000 2129920  0         0       : Thu Aug  1 16:10:38 2024
