00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 17:47:19 2024
00001  0.27028 0.00000 0.00000 10240000 0         0       : Thu Aug  1 17:50:09 2024
00002  0.26880 0.00000 0.00000 2129920  0         0       : Thu Aug  1 17:52:24 2024
00003  0.26856 0.00000 0.00000 2129920  0         0       : Thu Aug  1 17:54:38 2024
00004  0.26934 0.00000 0.00000 2129920  0         0       : Thu Aug  1 17:56:53 2024
00005  0.26960 0.00000 0.00000 2129920  0         0       : Thu Aug  1 17:59:10 2024
00006  0.27020 0.00000 0.00000 2129920  0         0       : Thu Aug  1 18:01:23 2024
00007  0.26873 0.00000 0.00000 2129920  0         0       : Thu Aug  1 18:03:39 2024
00008  0.26896 0.00000 0.00000 2129920  0         0       : Thu Aug  1 18:05:55 2024
00009  0.26887 0.00000 0.00000 2129920  0         0       : Thu Aug  1 18:08:09 2024
00010  0.27005 0.00000 0.00000 2129920  0         0       : Thu Aug  1 18:10:26 2024
