00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 18:53:57 2024
00001  0.26954 0.00000 0.00000 10240000 0         0       : Fri Aug  2 18:56:27 2024
00002  0.26967 0.00000 0.00000 2129920  0         0       : Fri Aug  2 18:58:23 2024
00003  0.26947 0.00000 0.00000 2129920  0         0       : Fri Aug  2 19:00:20 2024
00004  0.27027 0.00000 0.00000 2129920  0         0       : Fri Aug  2 19:02:17 2024
00005  0.26936 0.00000 0.00000 2129920  0         0       : Fri Aug  2 19:04:14 2024
00006  0.26854 0.00000 0.00000 2129920  0         0       : Fri Aug  2 19:06:12 2024
00007  0.26821 0.00000 0.00000 2129920  0         0       : Fri Aug  2 19:08:09 2024
00008  0.26856 0.00000 0.00000 2129920  0         0       : Fri Aug  2 19:10:07 2024
00009  0.26894 0.00000 0.00000 2129920  0         0       : Fri Aug  2 19:12:05 2024
00010  0.26976 0.00000 0.00000 2129920  0         0       : Fri Aug  2 19:14:02 2024
