00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 11:28:14 2024
00001  0.26946 0.00000 0.00000 10240000 0         0       : Thu Aug  1 11:30:45 2024
00002  0.26981 0.00000 0.00000 2129920  0         0       : Thu Aug  1 11:32:44 2024
00003  0.26847 0.00000 0.00000 2129920  0         0       : Thu Aug  1 11:34:42 2024
00004  0.26915 0.00000 0.00000 2129920  0         0       : Thu Aug  1 11:36:41 2024
00005  0.26939 0.00000 0.00000 2129920  0         0       : Thu Aug  1 11:38:38 2024
00006  0.26961 0.00000 0.00000 2129920  0         0       : Thu Aug  1 11:40:35 2024
00007  0.26983 0.00000 0.00000 2129920  0         0       : Thu Aug  1 11:42:32 2024
00008  0.26959 0.00000 0.00000 2129920  0         0       : Thu Aug  1 11:44:28 2024
00009  0.26890 0.00000 0.00000 2129920  0         0       : Thu Aug  1 11:46:24 2024
00010  0.26964 0.00000 0.00000 2129920  0         0       : Thu Aug  1 11:48:22 2024
