00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 08:43:59 2024
00001  0.26992 0.00000 0.00000 10240000 0         0       : Thu Aug  1 08:46:26 2024
00002  0.26934 0.00000 0.00000 2129920  0         0       : Thu Aug  1 08:48:23 2024
00003  0.26903 0.00000 0.00000 2129920  0         0       : Thu Aug  1 08:50:20 2024
00004  0.26943 0.00000 0.00000 2129920  0         0       : Thu Aug  1 08:52:15 2024
00005  0.26863 0.00000 0.00000 2129920  0         0       : Thu Aug  1 08:54:12 2024
00006  0.26982 0.00000 0.00000 2129920  0         0       : Thu Aug  1 08:56:09 2024
00007  0.26905 0.00000 0.00000 2129920  0         0       : Thu Aug  1 08:58:05 2024
00008  0.26846 0.00000 0.00000 2129920  0         0       : Thu Aug  1 09:00:02 2024
00009  0.27008 0.00000 0.00000 2129920  0         0       : Thu Aug  1 09:01:59 2024
00010  0.26867 0.00000 0.00000 2129920  0         0       : Thu Aug  1 09:03:55 2024
