00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 14:45:42 2024
00001  0.26953 0.00000 0.00000 10240000 0         0       : Thu Aug  1 14:48:10 2024
00002  0.26997 0.00000 0.00000 2129920  0         0       : Thu Aug  1 14:50:09 2024
00003  0.26919 0.00000 0.00000 2129920  0         0       : Thu Aug  1 14:52:06 2024
00004  0.27007 0.00000 0.00000 2129920  0         0       : Thu Aug  1 14:54:04 2024
00005  0.26999 0.00000 0.00000 2129920  0         0       : Thu Aug  1 14:56:02 2024
00006  0.27010 0.00000 0.00000 2129920  0         0       : Thu Aug  1 14:57:58 2024
00007  0.26969 0.00000 0.00000 2129920  0         0       : Thu Aug  1 14:59:56 2024
00008  0.26944 0.00000 0.00000 2129920  0         0       : Thu Aug  1 15:01:53 2024
00009  0.26979 0.00000 0.00000 2129920  0         0       : Thu Aug  1 15:03:51 2024
00010  0.27010 0.00000 0.00000 2129920  0         0       : Thu Aug  1 15:05:48 2024
