00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Mon Aug  5 07:19:03 2024
00001  0.26979 0.00000 0.00000 10240000 0         0       : Mon Aug  5 07:21:31 2024
00002  0.26917 0.00000 0.00000 2129920  0         0       : Mon Aug  5 07:23:29 2024
00003  0.26962 0.00000 0.00000 2129920  0         0       : Mon Aug  5 07:25:26 2024
00004  0.26903 0.00000 0.00000 2129920  0         0       : Mon Aug  5 07:27:23 2024
00005  0.26812 0.00000 0.00000 2129920  0         0       : Mon Aug  5 07:29:19 2024
00006  0.26891 0.00000 0.00000 2129920  0         0       : Mon Aug  5 07:31:15 2024
00007  0.26870 0.00000 0.00000 2129920  0         0       : Mon Aug  5 07:33:13 2024
00008  0.26888 0.00000 0.00000 2129920  0         0       : Mon Aug  5 07:35:09 2024
00009  0.26988 0.00000 0.00000 2129920  0         0       : Mon Aug  5 07:37:07 2024
00010  0.26868 0.00000 0.00000 2129920  0         0       : Mon Aug  5 07:39:02 2024
