#step,residue,       energy,           # of electrons
 0  0.000864246637 -179.379663293728 50.000000
 1  0.000432223431 -101.227490104642 50.000000
 2  0.000216840917 -62.102025217406 50.000000
 3  0.000114629535 -42.365615120063 50.000000
 4  0.000090386380 -31.952803747605 50.000000
 5  0.000123015149 -25.453104390691 50.000000
 6  0.000164632023 -20.513312259108 50.000000
 7  0.000187365377 -17.520999052047 50.000000
 8  0.000187986298 -17.546987751761 50.000000
 9  0.000171303007 -20.430693199317 50.000000
 10  0.000144363060 -24.911876660548 50.000000
 11  0.000114539723 -29.619716897538 50.000000
 12  0.000087276954 -33.704854583218 50.000000
 13  0.000065140618 -36.878510971335 50.000000
 14  0.000048545013 -39.185131708341 50.000000
 15  0.000036800374 -40.795769649282 50.000000
 16  0.000028848715 -41.894744376011 50.000000
 17  0.000023634889 -42.635897103617 50.000000
 18  0.000020262592 -43.134038650197 50.000000
 19  0.000018051272 -43.469916664500 50.000000
 20  0.000016534993 -43.698424657553 50.000000
 21  0.000015421595 -43.856140304149 50.000000
 22  0.000014538682 -43.967152209224 50.000000
 23  0.000013787803 -44.047219913750 50.000000
 24  0.000013113493 -44.106620010756 50.000000
 25  0.000012484807 -44.152046680130 50.000000
 26  0.000011884913 -44.187863348655 50.000000
 27  0.000011305282 -44.216920842318 50.000000
 28  0.000010742328 -44.241090206874 50.000000
 29  0.000010195350 -44.261609108489 50.000000
 30  0.000009665207 -44.279306735939 50.000000
 31  0.000009153438 -44.294749486499 50.000000
 32  0.000008661693 -44.308334944712 50.000000
 33  0.000008191401 -44.320352113956 50.000000
 34  0.000007743600 -44.331019687460 50.000000
 35  0.000007318883 -44.340510124682 50.000000
 36  0.000006917427 -44.348964650630 50.000000
 37  0.000006539044 -44.356502533458 50.000000
 38  0.000006183262 -44.363226817006 50.000000
 39  0.000005849399 -44.369227898506 50.000000
 40  0.000005536624 -44.374585821948 50.000000
 41  0.000005244015 -44.379371819732 50.000000
 42  0.000004970596 -44.383649420049 50.000000
 43  0.000004715373 -44.387475303792 50.000000
 44  0.000004477353 -44.390900013984 50.000000
 45  0.000004255565 -44.393968573338 50.000000
 46  0.000004049067 -44.396721038761 50.000000
 47  0.000003856957 -44.399193007054 50.000000
