00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 16:25:47 2024
00001  0.26942 0.00000 0.00000 10240000 0         0       : Fri Aug  2 16:28:16 2024
00002  0.26854 0.00000 0.00000 2129920  0         0       : Fri Aug  2 16:30:12 2024
00003  0.26942 0.00000 0.00000 2129920  0         0       : Fri Aug  2 16:32:09 2024
00004  0.26908 0.00000 0.00000 2129920  0         0       : Fri Aug  2 16:34:07 2024
00005  0.26850 0.00000 0.00000 2129920  0         0       : Fri Aug  2 16:36:03 2024
00006  0.27072 0.00000 0.00000 2129920  0         0       : Fri Aug  2 16:38:00 2024
00007  0.26959 0.00000 0.00000 2129920  0         0       : Fri Aug  2 16:39:59 2024
00008  0.26948 0.00000 0.00000 2129920  0         0       : Fri Aug  2 16:41:57 2024
00009  0.26959 0.00000 0.00000 2129920  0         0       : Fri Aug  2 16:43:54 2024
00010  0.26923 0.00000 0.00000 2129920  0         0       : Fri Aug  2 16:45:51 2024
