00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Sun Aug  4 11:18:29 2024
00001  0.12266 0.00000 0.00000 12288000 0         0       : Sun Aug  4 11:26:54 2024
00002  0.12152 0.00000 0.00000 4177920  0         0       : Sun Aug  4 11:34:47 2024
00003  0.12084 0.00000 0.00000 4177920  0         0       : Sun Aug  4 11:42:30 2024
