00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Sun Aug  4 10:54:24 2024
00001  0.12262 0.00000 0.00000 12288000 0         0       : Sun Aug  4 11:02:34 2024
00002  0.12146 0.00000 0.00000 4177920  0         0       : Sun Aug  4 11:10:24 2024
00003  0.12096 0.00000 0.00000 4177920  0         0       : Sun Aug  4 11:18:09 2024
