00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Sun Aug  4 10:30:21 2024
00001  0.12257 0.00000 0.00000 12288000 0         0       : Sun Aug  4 10:38:31 2024
00002  0.12163 0.00000 0.00000 4177920  0         0       : Sun Aug  4 10:46:19 2024
00003  0.12106 0.00000 0.00000 4177920  0         0       : Sun Aug  4 10:53:59 2024
