00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Jul 31 22:36:26 2024
00001  0.26965 0.00000 0.00000 10240000 0         0       : Wed Jul 31 22:38:55 2024
00002  0.26976 0.00000 0.00000 2129920  0         0       : Wed Jul 31 22:40:52 2024
00003  0.27022 0.00000 0.00000 2129920  0         0       : Wed Jul 31 22:42:49 2024
00004  0.26911 0.00000 0.00000 2129920  0         0       : Wed Jul 31 22:44:46 2024
00005  0.26960 0.00000 0.00000 2129920  0         0       : Wed Jul 31 22:46:43 2024
00006  0.26929 0.00000 0.00000 2129920  0         0       : Wed Jul 31 22:48:40 2024
00007  0.26989 0.00000 0.00000 2129920  0         0       : Wed Jul 31 22:50:38 2024
00008  0.27026 0.00000 0.00000 2129920  0         0       : Wed Jul 31 22:52:35 2024
00009  0.26994 0.00000 0.00000 2129920  0         0       : Wed Jul 31 22:54:31 2024
00010  0.26936 0.00000 0.00000 2129920  0         0       : Wed Jul 31 22:56:28 2024
