00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 12:22:10 2024
00001  0.27015 0.00000 0.00000 10240000 0         0       : Thu Aug  1 12:24:37 2024
00002  0.26907 0.00000 0.00000 2129920  0         0       : Thu Aug  1 12:26:35 2024
00003  0.26885 0.00000 0.00000 2129920  0         0       : Thu Aug  1 12:28:32 2024
00004  0.27023 0.00000 0.00000 2129920  0         0       : Thu Aug  1 12:30:28 2024
00005  0.26991 0.00000 0.00000 2129920  0         0       : Thu Aug  1 12:32:25 2024
00006  0.26966 0.00000 0.00000 2129920  0         0       : Thu Aug  1 12:34:22 2024
00007  0.26899 0.00000 0.00000 2129920  0         0       : Thu Aug  1 12:36:18 2024
00008  0.26869 0.00000 0.00000 2129920  0         0       : Thu Aug  1 12:38:15 2024
00009  0.26947 0.00000 0.00000 2129920  0         0       : Thu Aug  1 12:40:10 2024
00010  0.26903 0.00000 0.00000 2129920  0         0       : Thu Aug  1 12:42:07 2024
