00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 10:12:06 2024
00001  0.26970 0.00000 0.00000 10240000 0         0       : Fri Aug  2 10:14:33 2024
00002  0.26868 0.00000 0.00000 2129920  0         0       : Fri Aug  2 10:16:30 2024
00003  0.26927 0.00000 0.00000 2129920  0         0       : Fri Aug  2 10:18:27 2024
00004  0.26827 0.00000 0.00000 2129920  0         0       : Fri Aug  2 10:20:24 2024
00005  0.26950 0.00000 0.00000 2129920  0         0       : Fri Aug  2 10:22:21 2024
00006  0.26888 0.00000 0.00000 2129920  0         0       : Fri Aug  2 10:24:17 2024
00007  0.26946 0.00000 0.00000 2129920  0         0       : Fri Aug  2 10:26:13 2024
00008  0.26908 0.00000 0.00000 2129920  0         0       : Fri Aug  2 10:28:10 2024
00009  0.26920 0.00000 0.00000 2129920  0         0       : Fri Aug  2 10:30:07 2024
00010  0.27004 0.00000 0.00000 2129920  0         0       : Fri Aug  2 10:32:03 2024
