00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Jul 31 10:34:30 2024
00001  0.27044 0.00000 0.00000 10240000 0         0       : Wed Jul 31 10:36:59 2024
00002  0.26994 0.00000 0.00000 2129920  0         0       : Wed Jul 31 10:38:56 2024
00003  0.26947 0.00000 0.00000 2129920  0         0       : Wed Jul 31 10:40:54 2024
00004  0.26970 0.00000 0.00000 2129920  0         0       : Wed Jul 31 10:42:52 2024
00005  0.26884 0.00000 0.00000 2129920  0         0       : Wed Jul 31 10:44:49 2024
00006  0.26907 0.00000 0.00000 2129920  0         0       : Wed Jul 31 10:46:46 2024
00007  0.26876 0.00000 0.00000 2129920  0         0       : Wed Jul 31 10:48:43 2024
00008  0.26919 0.00000 0.00000 2129920  0         0       : Wed Jul 31 10:50:40 2024
00009  0.26904 0.00000 0.00000 2129920  0         0       : Wed Jul 31 10:52:37 2024
00010  0.26919 0.00000 0.00000 2129920  0         0       : Wed Jul 31 10:54:35 2024
