00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 16:12:37 2024
00001  0.27090 0.00000 0.00000 3276800  0         0       : Thu Aug  1 16:13:35 2024
00002  0.26814 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:13:57 2024
00003  0.26999 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:14:17 2024
00004  0.26843 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:14:34 2024
00005  0.27036 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:14:52 2024
00006  0.27018 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:15:11 2024
00007  0.26858 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:15:31 2024
00008  0.26937 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:15:48 2024
00009  0.26951 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:16:07 2024
00010  0.27014 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:16:25 2024
00011  0.26981 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:16:44 2024
00012  0.26988 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:17:01 2024
00013  0.26911 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:17:19 2024
00014  0.27043 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:17:37 2024
00015  0.26868 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:17:54 2024
00016  0.27015 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:18:13 2024
00017  0.26874 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:18:31 2024
00018  0.26885 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:18:49 2024
00019  0.26978 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:19:06 2024
00020  0.26964 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:19:24 2024
00021  0.26867 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:19:42 2024
00022  0.26962 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:20:00 2024
00023  0.26812 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:20:17 2024
00024  0.26994 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:20:35 2024
00025  0.26908 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:20:53 2024
00026  0.26967 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:21:12 2024
00027  0.26967 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:21:29 2024
00028  0.27040 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:21:47 2024
00029  0.26954 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:22:05 2024
00030  0.26926 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:22:22 2024
00031  0.26813 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:22:40 2024
00032  0.26931 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:22:57 2024
00033  0.27081 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:23:15 2024
00034  0.26822 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:23:33 2024
00035  0.26951 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:23:50 2024
00036  0.27065 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:24:08 2024
00037  0.26971 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:24:26 2024
00038  0.26994 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:24:43 2024
00039  0.26970 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:25:01 2024
00040  0.27051 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:25:19 2024
00041  0.27043 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:25:36 2024
00042  0.26848 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:25:54 2024
00043  0.26825 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:26:12 2024
00044  0.26988 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:26:30 2024
00045  0.26870 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:26:47 2024
00046  0.26944 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:27:05 2024
00047  0.26945 0.00000 0.00000 1654784  0         0       : Thu Aug  1 16:27:22 2024
