00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 14:07:36 2024
00001  0.26999 0.00000 0.00000 10240000 0         0       : Fri Aug  2 14:10:04 2024
00002  0.26997 0.00000 0.00000 2129920  0         0       : Fri Aug  2 14:12:02 2024
00003  0.26840 0.00000 0.00000 2129920  0         0       : Fri Aug  2 14:13:58 2024
00004  0.26962 0.00000 0.00000 2129920  0         0       : Fri Aug  2 14:15:55 2024
00005  0.26994 0.00000 0.00000 2129920  0         0       : Fri Aug  2 14:17:52 2024
00006  0.26944 0.00000 0.00000 2129920  0         0       : Fri Aug  2 14:19:48 2024
00007  0.26988 0.00000 0.00000 2129920  0         0       : Fri Aug  2 14:21:45 2024
00008  0.26889 0.00000 0.00000 2129920  0         0       : Fri Aug  2 14:23:42 2024
00009  0.26927 0.00000 0.00000 2129920  0         0       : Fri Aug  2 14:25:40 2024
00010  0.27006 0.00000 0.00000 2129920  0         0       : Fri Aug  2 14:27:38 2024
