00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 00:45:51 2024
00001  0.27001 0.00000 0.00000 10240000 0         0       : Thu Aug  1 00:48:19 2024
00002  0.26964 0.00000 0.00000 2129920  0         0       : Thu Aug  1 00:50:15 2024
00003  0.26920 0.00000 0.00000 2129920  0         0       : Thu Aug  1 00:52:12 2024
00004  0.26853 0.00000 0.00000 2129920  0         0       : Thu Aug  1 00:54:08 2024
00005  0.26829 0.00000 0.00000 2129920  0         0       : Thu Aug  1 00:56:05 2024
00006  0.26988 0.00000 0.00000 2129920  0         0       : Thu Aug  1 00:58:02 2024
00007  0.26861 0.00000 0.00000 2129920  0         0       : Thu Aug  1 00:59:58 2024
00008  0.26985 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:01:54 2024
00009  0.27015 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:03:52 2024
00010  0.26946 0.00000 0.00000 2129920  0         0       : Thu Aug  1 01:05:48 2024
