#step,residue,       energy,           # of electrons
 0  0.000977426162 -164.629891141166 64.000000
 1  0.000544639325 -101.456887300832 64.000000
 2  0.000322196836 -69.645527096061 64.000000
 3  0.000207595124 -53.361687607616 64.000000
 4  0.000140272219 -45.616555852155 64.000000
 5  0.000136102312 -41.592166703504 64.000000
 6  0.000138099905 -39.851000970028 64.000000
 7  0.000133517203 -39.620813853744 64.000000
 8  0.000185960904 -39.663319811667 64.000000
 9  0.000142987823 -40.948668868927 64.000000
 10  0.000107932269 -42.744040358149 64.000000
 11  0.000082844825 -44.561671993116 64.000000
 12  0.000063638818 -46.154515414833 64.000000
 13  0.000048825767 -47.438074035373 64.000000
 14  0.000037609358 -48.420303370154 64.000000
 15  0.000029288134 -49.147818310734 64.000000
 16  0.000023204120 -49.675623468590 64.000000
 17  0.000018783367 -50.053607202975 64.000000
 18  0.000015561089 -50.322215029481 64.000000
 19  0.000013183146 -50.512333076320 64.000000
 20  0.000011392671 -50.646731090573 64.000000
 21  0.000010010286 -50.741832765658 64.000000
 22  0.000008913854 -50.809321236308 64.000000
 23  0.000008021204 -50.857434209912 64.000000
 24  0.000007277039 -50.891948084976 64.000000
 25  0.000006643779 -50.916900388667 64.000000
 26  0.000006095459 -50.935108969394 64.000000
 27  0.000005613785 -50.948540089387 64.000000
 28  0.000005185599 -50.958567086266 64.000000
 29  0.000004801244 -50.966151077924 64.000000
 30  0.000004453493 -50.971966724945 64.000000
 31  0.000004136840 -50.976489544942 64.000000
 32  0.000003847012 -50.980056449010 64.000000
 33  0.000003580637 -50.982907687304 64.000000
 34  0.000003335008 -50.985215914350 64.000000
 35  0.000003107912 -50.987106341943 64.000000
 36  0.000002897512 -50.988670729263 64.000000
 37  0.000002702258 -50.989977112294 64.000000
 38  0.000002520824 -50.991076586771 64.000000
 39  0.000002352058 -50.992008052124 64.000000
 40  0.000002194948 -50.992801542813 64.000000
 41  0.000002048595 -50.993480579451 64.000000
 42  0.000001912195 -50.994063838302 64.000000
 43  0.000001785020 -50.994566345461 64.000000
 44  0.000001666408 -50.995000338429 64.000000
 45  0.000001555757 -50.995375893913 64.000000
 46  0.000001452512 -50.995701390447 64.000000
 47  0.000001356162 -50.995983853535 64.000000
 48  0.000001266235 -50.996229216608 64.000000
 49  0.000001182296 -50.996442521089 64.000000
 50  0.000001103940 -50.996628071991 64.000000
 51  0.000001030790 -50.996789560627 64.000000
 52  0.000000962498 -50.996930162717 64.000000
 53  0.000000898739 -50.997052617823 64.000000
 54  0.000000839209 -50.997159294415 64.000000
 55  0.000000783627 -50.997252243725 64.000000
 56  0.000000731730 -50.997333244721 64.000000
 57  0.000000683273 -50.997403841966 64.000000
 58  0.000000638027 -50.997465377695 64.000000
 59  0.000000595779 -50.997519019137 64.000000
 60  0.000000556330 -50.997565781900 64.000000
 61  0.000000519494 -50.997606550058 64.000000
 62  0.000000485098 -50.997642093455 64.000000
 63  0.000000452980 -50.997673082651 64.000000
 64  0.000000422990 -50.997700101856 64.000000
 65  0.000000394986 -50.997723660137 64.000000
 66  0.000000368836 -50.997744201144 64.000000
 67  0.000000344418 -50.997762111559 64.000000
 68  0.000000321617 -50.997777728442 64.000000
 69  0.000000300325 -50.997791345616 64.000000
 70  0.000000280444 -50.997803219231 64.000000
 71  0.000000261879 -50.997813572601 64.000000
 72  0.000000244543 -50.997822600422 64.000000
 73  0.000000228356 -50.997830472444 64.000000
 74  0.000000213240 -50.997837336670 64.000000
 75  0.000000199124 -50.997843322143 64.000000
 76  0.000000185944 -50.997848541381 64.000000
 77  0.000000173636 -50.997853092488 64.000000
 78  0.000000162143 -50.997857061009 64.000000
 79  0.000000151411 -50.997860521531 64.000000
 80  0.000000141390 -50.997863539090 64.000000
 81  0.000000132032 -50.997866170396 64.000000
 82  0.000000123293 -50.997868464899 64.000000
 83  0.000000115134 -50.997870465713 64.000000
 84  0.000000107514 -50.997872210437 64.000000
 85  0.000000100399 -50.997873731854 64.000000
 86  0.000000093755 -50.997875058548 64.000000
 87  0.000000087550 -50.997876215447 64.000000
 88  0.000000081757 -50.997877224285 64.000000
 89  0.000000076347 -50.997878104014 64.000000
 90  0.000000071295 -50.997878871161 64.000000
 91  0.000000066578 -50.997879540136 64.000000
 92  0.000000062173 -50.997880123505 64.000000
 93  0.000000058059 -50.997880632225 64.000000
 94  0.000000054218 -50.997881075850 64.000000
 95  0.000000050631 -50.997881462712 64.000000
 96  0.000000047282 -50.997881800075 64.000000
 97  0.000000044154 -50.997882094274 64.000000
 98  0.000000041234 -50.997882350834 64.000000
 99  0.000000038506 -50.997882574571 64.000000
 100  0.000000035960 -50.997882769687 64.000000
 101  0.000000033581 -50.997882939842 64.000000
 102  0.000000031361 -50.997883088232 64.000000
 103  0.000000029287 -50.997883217642 64.000000
 104  0.000000027350 -50.997883330500 64.000000
 105  0.000000025542 -50.997883428923 64.000000
 106  0.000000023853 -50.997883514760 64.000000
 107  0.000000022276 -50.997883589620 64.000000
 108  0.000000020804 -50.997883654907 64.000000
 109  0.000000019429 -50.997883711847 64.000000
 110  0.000000018145 -50.997883761506 64.000000
 111  0.000000016945 -50.997883804817 64.000000
 112  0.000000015826 -50.997883842592 64.000000
 113  0.000000014780 -50.997883875537 64.000000
 114  0.000000013804 -50.997883904272 64.000000
 115  0.000000012892 -50.997883929335 64.000000
 116  0.000000012040 -50.997883951195 64.000000
 117  0.000000011245 -50.997883970261 64.000000
 118  0.000000010503 -50.997883986892 64.000000
 119  0.000000009809 -50.997884001398 64.000000
 120  0.000000009162 -50.997884014051 64.000000
 121  0.000000008557 -50.997884025088 64.000000
 122  0.000000007992 -50.997884034716 64.000000
