    0    0    0    0 0.5123231599 0.0000000000
    0    0    0    1 -0.3457558486 0.0000000000
    0    0    1    0 0.1647557588 0.0000000000
    0    0    1    1 -0.0000000875 0.0000000000
    0    0    2    0 -0.0004884239 0.0000000000
    0    0    2    1 0.0137032943 0.0000000000
    0    0    3    0 -0.0015423872 0.0000000000
    0    0    3    1 0.0000000004 0.0000000000
    0    0    4    0 -0.0000862541 0.0000000000
    0    0    4    1 0.0024199851 0.0000000000
    0    0    5    0 -0.0015423872 0.0000000000
    0    0    5    1 0.0000000037 0.0000000000
    0    0    6    0 -0.0004884173 0.0000000000
    0    0    6    1 0.0137032945 0.0000000000
    0    0    7    0 0.1647557588 0.0000000000
    0    0    7    1 0.0000001323 0.0000000000
    0    0    8    0 0.1647557588 0.0000000000
    0    0    8    1 0.0000000915 0.0000000000
    0    0    9    0 -0.0018567780 0.0000000000
    0    0    9    1 0.0520957416 0.0000000000
    0    0   10    0 -0.0306530378 0.0000000000
    0    0   10    1 0.0000000028 0.0000000000
    0    0   11    0 0.0002493271 0.0000000000
    0    0   11    1 -0.0069950608 0.0000000000
    0    0   12    0 0.0030760702 0.0000000000
    0    0   12    1 0.0000000013 0.0000000000
    0    0   13    0 0.0002493192 0.0000000000
    0    0   13    1 -0.0069950611 0.0000000000
    0    0   14    0 -0.0306530378 0.0000000000
    0    0   14    1 -0.0000000528 0.0000000000
    0    0   15    0 -0.0018568070 0.0000000000
    0    0   15    1 0.0520957405 0.0000000000
    0    0   16    0 -0.0004884176 0.0000000000
    0    0   16    1 0.0137032945 0.0000000000
    0    0   17    0 -0.0306530378 0.0000000000
    0    0   17    1 -0.0000000383 0.0000000000
    0    0   18    0 0.0005848968 0.0000000000
    0    0   18    1 -0.0164101070 0.0000000000
    0    0   19    0 0.0087898857 0.0000000000
    0    0   19    1 0.0000000018 0.0000000000
    0    0   20    0 -0.0002607557 0.0000000000
    0    0   20    1 0.0073158600 0.0000000000
    0    0   21    0 0.0087898857 0.0000000000
    0    0   21    1 0.0000000142 0.0000000000
    0    0   22    0 0.0005848833 0.0000000000
    0    0   22    1 -0.0164101075 0.0000000000
