00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 20:06:20 2024
00001  0.26966 0.00000 0.00000 10240000 0         0       : Thu Aug  1 20:08:48 2024
00002  0.26948 0.00000 0.00000 2129920  0         0       : Thu Aug  1 20:10:45 2024
00003  0.26947 0.00000 0.00000 2129920  0         0       : Thu Aug  1 20:12:42 2024
00004  0.26952 0.00000 0.00000 2129920  0         0       : Thu Aug  1 20:14:38 2024
00005  0.26962 0.00000 0.00000 2129920  0         0       : Thu Aug  1 20:16:35 2024
00006  0.26971 0.00000 0.00000 2129920  0         0       : Thu Aug  1 20:18:33 2024
00007  0.26912 0.00000 0.00000 2129920  0         0       : Thu Aug  1 20:20:29 2024
00008  0.26984 0.00000 0.00000 2129920  0         0       : Thu Aug  1 20:22:24 2024
00009  0.26955 0.00000 0.00000 2129920  0         0       : Thu Aug  1 20:24:21 2024
00010  0.26881 0.00000 0.00000 2129920  0         0       : Thu Aug  1 20:26:18 2024
