#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
 5130 10258     0     2  7.38483e+03  0.00000e+00 -1.37345e-03  1706
 5130 10258     0     2  7.29801e+03  0.00000e+00 -2.06050e-03  1784
 5130 10258     0     2  7.45278e+03  0.00000e+00  9.45683e-04  1794
 5130 10258     0     2  7.87807e+03  0.00000e+00 -2.37790e-03  1784
 5130 10258     0     2  7.42229e+03  0.00000e+00 -1.48743e-03  1784
 5130 10258     0     2  7.33919e+03  0.00000e+00  1.54922e-03  1752
 5130 10258     0     2  7.19503e+03  0.00000e+00  1.87956e-03  1752
 5130 10258     0     2  7.22950e+03  0.00000e+00  2.86102e-03  1784
 5130 10258     0     2  7.26369e+03  0.00000e+00  1.80576e-03  1784
 5130 10258     0     2  7.24697e+03  0.00000e+00 -1.35088e-03  1708
 5130 10258     0     2  7.27434e+03  0.00000e+00 -2.08312e-03  1784
 5130 10258     0     2  7.35852e+03  0.00000e+00 -2.53744e-03  1784
 5130 10258     0     2  7.26032e+03  0.00000e+00  4.07398e-03  1784
 5130 10258     0     2  7.23819e+03  0.00000e+00 -2.79567e-03  1784
 5130 10258     0     2  7.35735e+03  0.00000e+00  1.36491e-03  1722
 5130 10258     0     2  7.36991e+03  0.00000e+00 -1.63337e-03  1560
 5130 10258     0     2  7.30985e+03  0.00000e+00 -1.95187e-03  1784
 5130 10258     0     2  7.05686e+03  0.00000e+00 -1.26333e-03  1672
 5130 10258     0     2  7.32314e+03  0.00000e+00  2.15009e-03  1784
 5130 10258     0     2  7.31377e+03  0.00000e+00  1.43327e-03  1600
 5130 10258     0     2  7.08669e+03  0.00000e+00 -1.18195e-03  1744
 5130 10258     0     2  7.28792e+03  0.00000e+00 -2.61006e-03  1784
 5130 10258     0     2  7.25659e+03  0.00000e+00 -1.44325e-03  1622
 5130 10258     0     2  7.30268e+03  0.00000e+00  1.20808e-03  1670
 5130 10258     0     2  7.37462e+03  0.00000e+00  1.50869e-03  1648
 5130 10258     0     2  7.23418e+03  0.00000e+00 -1.30656e-03  1760
 5130 10258     0     2  7.10915e+03  0.00000e+00  1.53015e-03  1602
 5130 10258     0     2  7.30066e+03  0.00000e+00 -2.32373e-03  1784
 5130 10258     0     2  7.15329e+03  0.00000e+00  1.44484e-03  1754
 5130 10258     0     2  7.21500e+03  0.00000e+00 -1.44392e-03  1654
 5130 10258     0     2  7.18266e+03  0.00000e+00 -1.49267e-03  1580
 5130 10258     0     2  7.18871e+03  0.00000e+00 -1.71530e-03  1684
 5130 10258     0     2  7.07620e+03  0.00000e+00 -2.02322e-03  1788
 5130 10258     0     2  7.26560e+03  0.00000e+00 -4.37938e-03  1784
 5130 10258     0     2  7.28919e+03  0.00000e+00  2.33299e-03  1560
 5130 10258     0     2  7.12514e+03  0.00000e+00 -1.43283e-03  1630
 5130 10258     0     2  7.30844e+03  0.00000e+00 -3.25782e-03  1784
 5130 10258     0     2  7.44553e+03  0.00000e+00  2.33238e-03  1784
 5130 10258     0     2  7.28723e+03  0.00000e+00 -1.42880e-03  1718
 5130 10258     0     2  7.21840e+03  0.00000e+00  1.41045e-03  1644
 5130 10258     0     2  7.25393e+03  0.00000e+00  1.54539e-03  1786
 5130 10258     0     2  7.02303e+03  0.00000e+00  1.56250e-03  1674
 5130 10258     0     2  7.13087e+03  0.00000e+00 -1.37901e-03  1736
 5130 10258     0     2  7.09771e+03  0.00000e+00 -1.31316e-03  1686
 5130 10258     0     2  7.32065e+03  0.00000e+00  3.31307e-03  1784
 5130 10258     0     2  7.26397e+03  0.00000e+00 -1.59670e-03  1774
 5130 10258     0     2  7.06928e+03  0.00000e+00 -1.42066e-03  1754
 5130 10258     0     2  7.15045e+03  0.00000e+00  1.71442e-03  1560
 5130 10258     0     2  7.14649e+03  0.00000e+00 -1.59061e-03  1628
 5130 10258     0     2  7.13670e+03  0.00000e+00  1.50862e-03  1770
 5130 10258     0     2  7.20302e+03  0.00000e+00 -1.73884e-03  1780
 5130 10258     0     2  7.25987e+03  0.00000e+00 -1.75034e-03  1770
 5130 10258     0     2  7.24648e+03  0.00000e+00 -1.49694e-03  1574
 5130 10258     0     2  7.21974e+03  0.00000e+00  1.71327e-03  1622
 5130 10258     0     2  7.10277e+03  0.00000e+00 -2.26889e-03  1784
 5130 10258     0     2  7.20598e+03  0.00000e+00 -2.60394e-03  1786
 5130 10258     0     2  7.55534e+03  0.00000e+00 -3.17278e-03  1784
 5130 10258     0     2  7.28008e+03  0.00000e+00 -1.39084e-03  1752
 5130 10258     0     2  7.30078e+03  0.00000e+00 -1.49620e-03  1560
 5130 10258     0     2  7.20683e+03  0.00000e+00 -2.18970e-03  1786
 5130 10258     0     2  7.22097e+03  0.00000e+00  1.23380e-03  1790
 5130 10258     0     2  7.07423e+03  0.00000e+00 -1.48294e-03  1780
 5130 10258     0     2  7.19175e+03  0.00000e+00 -1.63427e-03  1612
 5130 10258     0     2  7.17407e+03  0.00000e+00 -1.27075e-03  1600
 5130 10258     0     2  7.21861e+03  0.00000e+00 -1.59487e-03  1558
 5130 10258     0     2  7.78776e+03  0.00000e+00  1.35364e-03  1784
 5130 10258     0     2  7.16461e+03  0.00000e+00 -1.37409e-03  1712
 5130 10258     0     2  7.22185e+03  0.00000e+00  1.94185e-03  1672
 5130 10258     0     2  7.14064e+03  0.00000e+00 -2.12230e-03  1786
 5130 10258     0     2  7.29533e+03  0.00000e+00  1.46780e-03  1622
 5130 10258     0     2  7.10165e+03  0.00000e+00  2.06063e-03  1784
 5130 10258     0     2  7.11277e+03  0.00000e+00 -2.80566e-03  1784
 5130 10258     0     2  7.18256e+03  0.00000e+00 -2.50213e-03  1786
 5130 10258     0     2  7.20753e+03  0.00000e+00 -2.84492e-03  1786
 5130 10258     0     2  7.22373e+03  0.00000e+00 -2.24908e-03  1786
 5130 10258     0     2  7.51463e+03  0.00000e+00  3.72028e-03  1784
 5130 10258     0     2  7.20902e+03  0.00000e+00 -1.74199e-03  1642
 5130 10258     0     2  7.19230e+03  0.00000e+00 -2.62247e-03  1784
 5130 10258     0     2  7.09055e+03  0.00000e+00  2.12022e-03  1790
 5130 10258     0     2  7.15952e+03  0.00000e+00  2.29567e-03  1784
 5130 10258     0     2  7.24505e+03  0.00000e+00  1.33819e-03  1782
 5130 10258     0     2  7.22043e+03  0.00000e+00 -2.32966e-03  1784
 5130 10258     0     2  7.21433e+03  0.00000e+00 -1.50585e-03  1652
 5130 10258     0     2  7.25575e+03  0.00000e+00  1.77481e-03  1594
 5130 10258     0     2  7.16292e+03  0.00000e+00  3.20895e-03  1784
 5130 10258     0     2  7.14477e+03  0.00000e+00 -2.68156e-03  1784
