00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Jul 31 20:41:33 2024
00001  0.26987 0.00000 0.00000 10240000 0         0       : Wed Jul 31 20:44:02 2024
00002  0.26824 0.00000 0.00000 2129920  0         0       : Wed Jul 31 20:45:58 2024
00003  0.26936 0.00000 0.00000 2129920  0         0       : Wed Jul 31 20:47:55 2024
00004  0.26869 0.00000 0.00000 2129920  0         0       : Wed Jul 31 20:49:53 2024
00005  0.26849 0.00000 0.00000 2129920  0         0       : Wed Jul 31 20:51:50 2024
00006  0.26931 0.00000 0.00000 2129920  0         0       : Wed Jul 31 20:53:47 2024
00007  0.27000 0.00000 0.00000 2129920  0         0       : Wed Jul 31 20:55:44 2024
00008  0.26823 0.00000 0.00000 2129920  0         0       : Wed Jul 31 20:57:41 2024
00009  0.26961 0.00000 0.00000 2129920  0         0       : Wed Jul 31 20:59:38 2024
00010  0.26976 0.00000 0.00000 2129920  0         0       : Wed Jul 31 21:01:34 2024
