00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  9 23:56:28 2024
00070  0.01695 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:34 2024
00071  0.01626 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:37 2024
00072  0.01650 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:40 2024
00073  0.01604 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:43 2024
00074  0.01587 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:46 2024
00075  0.01654 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:49 2024
00076  0.01588 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:53 2024
00077  0.01711 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:56 2024
00078  0.01653 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:59 2024
00079  0.01615 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:02 2024
00080  0.01598 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:05 2024
00081  0.01597 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:08 2024
00082  0.01631 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:11 2024
00083  0.01594 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:14 2024
00084  0.01665 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:17 2024
00085  0.01642 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:20 2024
00086  0.01614 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:23 2024
00087  0.01666 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:26 2024
00088  0.01652 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:29 2024
00089  0.01638 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:32 2024
00090  0.01606 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:35 2024
00091  0.01591 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:38 2024
00092  0.01576 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:41 2024
00093  0.01591 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:44 2024
00094  0.01648 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:47 2024
00095  0.01629 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:51 2024
00096  0.01707 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:54 2024
00097  0.01673 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:57 2024
00098  0.01633 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:00 2024
00099  0.01653 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:03 2024
00100  0.01643 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:06 2024
00101  0.01760 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:09 2024
00102  0.01658 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:12 2024
00103  0.01606 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:15 2024
00104  0.01614 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:18 2024
00105  0.01630 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:21 2024
